Name Category,Name Store,Name Product,Name Brand,Image URL,Description,Price,Product URL
Laptop,Xgear,Laptop MSI Modern 14 C7M 083VN AMD Ryzen 5 7530U 8GB 512GB 14″ FHD IPS Backlight Keyboard Win 11,MSI,https://xgear.net/wp-content/uploads/2023/03/msi-modern-2023-1.jpg,"Bừng sáng cuộc sống của bạn với Modern Series hoàn toàn mới. Mỏng, mạnh mẽ và phong cách – MSI Modern 14 C7M được trang bị mọi thứ để bạn theo đuổi đam mê của mình ngay cả trong công việc và giải trí. Hãy để hiệu suất tuyệt vời của nó giúp bạn chinh phục bất kỳ nhiệm vụ nào và tăng thêm sự tinh tế cho năng suất hàng ngày của bạn.","13,990,000 ₫",https://xgear.net/san-pham/laptop-msi-modern-14-c7m/
Laptop,Xgear,Laptop MSI Modern 14 C13M Intel Core i3 1315U 8GB 512GB 14″ FHD IPS Backlight Keyboard Win 11,MSI,https://xgear.net/wp-content/uploads/2023/01/msi-modern-2023.png,"Bừng sáng cuộc sống của bạn với Modern Series hoàn toàn mới. Mỏng, mạnh mẽ và phong cách – MSI Modern 14 C13M được trang bị mọi thứ để bạn theo đuổi đam mê của mình ngay cả trong công việc và giải trí. Hãy để hiệu suất tuyệt vời của nó giúp bạn chinh phục bất kỳ nhiệm vụ nào và tăng thêm sự tinh tế cho năng suất hàng ngày của bạn.","14,490,000 ₫",https://xgear.net/san-pham/laptop-msi-modern-14-c13m-i3/
Laptop,Xgear,Laptop MSI Modern 15 B7M 099VN AMD Ryzen 5 7530U 8GB 512GB 15.6″ FHD IPS Backlight Keyboard Win 11,MSI,https://xgear.net/wp-content/uploads/2023/03/msi-modern-15-2023.jpg,"Được trang bị lên đến Bộ xử lý AMD Ryzen™ 7, Modern 15 B7M cực kỳ nhẹ và mỏng chỉ cần cho vào túi xách của bạn để bạn luôn làm việc hiệu quả và giải trí mọi lúc mọi nơi. Sức mạnh tuyệt vời của nó sẽ luôn tiếp tục và giúp bạn hoàn thành công việc, giống như khả năng sáng tạo của bạn.","14,490,000 ₫",https://xgear.net/san-pham/laptop-msi-modern-15-b7m/
Laptop,Xgear,Laptop Gaming Acer Aspire 7 A715-42G-R05G GTX 1650 4GB Ryzen 5 5500U 8GB 512GB 15.6 FHD 144Hz IPS Win 11,Acer,https://xgear.net/wp-content/uploads/2023/01/Laptop-Gaming-Acer-Aspire-7-A715-42G-R05G-GTX-1650-4GB-Ryzen-5-5500U-8GB-512GB-15.6-FHD-144Hz-IPS-Win-11.jpg,"Thiết kế tinh tế, trung tính theo phong cách học tập, văn phòng nhưng ACER ASPIRE 7 A715-42G-R05G sở hữu cấu hình mạnh với bộ vi xử lý AMD Ryzen và card đồ họa rời NVIDIA GeForce GTX kết hợp cùng hai quạt tản nhiệt đem lại khả năng làm mát tối đa.
– Bộ vi xử lý AMD Ryzen™ 5 5500U.
– Card đồ họa rời NVIDIA GeForce® GTX 1650 4GB.
– Màn hình 15.6″ FHD IPS đẹp mắt với tần số quét 144Hz chuẩn chiến game.
– Công nghệ tản nhiệt hàng đầu phân khúc với 2 quạt tản nhiệt và hệ thống ống đồng cải tiến, cùng phần mềm tối ưu hóa hệ thống Acer Care Center tiện dụng.","15,490,000 ₫",https://xgear.net/san-pham/laptop-gaming-acer-aspire-7-a715-42g-r05g/
Laptop,Xgear,Laptop Asus VivoBook Pro 15X M1503QA-L1044W AMD Ryzen 7 5800H 8GB 512GB 15.6″ OLED FHD Win11 Silver,Asus,https://xgear.net/wp-content/uploads/2022/12/VivoBook-Pro-15X-M1503QA-L1044W.jpg,"Laptop Asus VivoBook Pro 15X M1503QA-L1044W là dòng sản phẩm được định vị nằm giữa VivoBook Pro và ZenBook. Hướng đến đối tượng người sáng tạo nội dung trẻ tuổi, vlogger hoặc những nghệ sĩ tự do. Bề mặt của máy được hoàn thiện với họa tiết dệt cho cảm giác như. những tờ giấy nhám cực mịn và hạn chế tối đa việc để lại dấu tay. Thiết kế của máy cũng cực kì trẻ trung, khu vực bàn phím được mã màu rõ ràng cho từng khu vực phím. Touchpad kích thước lớn tích hợp phím xoay ASUS DialPad với chức năng tương tự như con xoay vật lí trên máy Studiobook.","16,190,000 ₫",https://xgear.net/san-pham/laptop-asus-vivobook-pro-15x-m1503qa-l1044w/
Laptop,Xgear,Laptop Gaming Asus TUF F15 FX506LHB-HN188W Geforce GTX 1650 4GB Intel Core i5 10300H 8GB 512GB 15.6″ 144Hz IPS Win 11 Gray Metal RGB,Asus,https://xgear.net/wp-content/uploads/2022/12/Laptop-Gaming-Asus-TUF-F17-FX706HC-HX579W-105W-RTX-3050-4GB-Intel-Core-i5-11400H-8GB-512GB-17.3%E2%80%B2%E2%80%B2-FHD-IPS-144Hz-Eclipse-Gray-RGB-Win-11.jpg,"Asus TUF F15 FX506LHB-HN188W sẽ thay đổi cách bạn nhìn vào laptop chơi game. được trang bị phần cứng ấn tượng, thiết kế gọn nhưng mạnh mẽ. Trang bị bộ vi xử lý Intel thế hệ mới nhất, hỗ trợ ram tối đa 32GB, VGA GTX 16 series, màn hình IPS 144Hz với bàn phím có đèn nền RGB. Có bàn phím chuyên dụng chơi game với các phím RGB-backlit. Cụm phím WASD nổi bật và công nghệ Overstroke để thao tác nhanh và chính xác. Với màn hình NanoEdge IPS cấp độ tiên tiến, và độ bền được chứng nhận kiểm tra MIL-STD-810G. Asus TUF F15 FX506LHB-HN188W mang đến trải nghiệm chơi game phong phú mọi lúc mọi nơi!","16,490,000 ₫",https://xgear.net/san-pham/laptop-gaming-asus-tuf-f15-fx506lhb-hn188w/
Laptop,Xgear,Laptop Gaming MSI GF63 Thin 11SC 664VN Geforce GTX 1650 4GB Intel Core i5 11400H 8GB 512GB 15.6” FHD 144Hz IPS Backlight Keyboard Win 11,MSI,https://xgear.net/wp-content/uploads/2022/12/MSI-GF63-Thin-11SC-664VN.jpg,"MSI GF63 Thin 11SC 664VN sinh ra để thích nghi, tồn tại và phát triển. Thế hệ mới sở hữu chip i5 11400H và GPU GTX 1650 mới nhất.","16,490,000 ₫",https://xgear.net/san-pham/laptop-gaming-msi-gf63-thin-11sc-664vn/
Laptop,Xgear,Laptop MSI Modern 15 B7M 098VN AMD Ryzen 7 7730U 8GB 512GB 15.6″ FHD IPS Backlight Keyboard Win 11,MSI,https://xgear.net/wp-content/uploads/2023/03/msi-modern-15-2023.jpg,"Được trang bị lên đến Bộ xử lý AMD Ryzen™ 7, Modern 15 B7M cực kỳ nhẹ và mỏng chỉ cần cho vào túi xách của bạn để bạn luôn làm việc hiệu quả và giải trí mọi lúc mọi nơi. Sức mạnh tuyệt vời của nó sẽ luôn tiếp tục và giúp bạn hoàn thành công việc, giống như khả năng sáng tạo của bạn.","16,490,000 ₫",https://xgear.net/san-pham/laptop-msi-modern-15-b7m-r7/
Laptop,Xgear,Laptop Asus VivoBook Pro 14X A1403ZA-KM161W / KM067W Intel Core i5 12500H 8GB 256GB 14″ OLED 2.8K 90Hz Win11,Asus,https://xgear.net/wp-content/uploads/2023/02/VivoBook-Pro-14X-A1403.jpg,"Tỏa sáng với cả thế giới cùng Laptop Asus VivoBook Pro 14X A1403ZA-KM161W, máy tính xách tay đầy đủ tính năng với màn hình OLED HDR cực sáng với dải màu DCI-P3 đẳng cấp điện ảnh. Laptop Asus VivoBook Pro 15X A1403ZA-KM161W cho phép hoàn thành mọi việc dễ dàng, mọi lúc mọi nơi: mọi khía cạnh đều được cải tiến, từ bộ vi xử lý di động Intel® thế hệ 12 mạnh mẽ tới bản lề duỗi thẳng 180°, thiết kế hình học thanh mảnh và màu sắc hiện đại. Bắt đầu ngày mới đầy hứng khởi với Laptop Asus VivoBook Pro 14X A1403ZA-KM161W OLED!","16,690,000 ₫",https://xgear.net/san-pham/laptop-asus-vivobook-pro-14x-a1403za-km161w/
Laptop,Xgear,Laptop MSI Modern 14 C13M 458VN Intel Core i5 1335U 8GB 512GB 14″ FHD IPS Backlight Keyboard Win 11,MSI,https://xgear.net/wp-content/uploads/2023/01/msi-modern-2023.png,"Bừng sáng cuộc sống của bạn với Modern Series hoàn toàn mới. Mỏng, mạnh mẽ và phong cách – MSI Modern 14 C13M được trang bị mọi thứ để bạn theo đuổi đam mê của mình ngay cả trong công việc và giải trí. Hãy để hiệu suất tuyệt vời của nó giúp bạn chinh phục bất kỳ nhiệm vụ nào và tăng thêm sự tinh tế cho năng suất hàng ngày của bạn.","17,490,000 ₫",https://xgear.net/san-pham/laptop-msi-modern-14-c13m/
Laptop,Xgear,Laptop Gaming Acer Aspire 7 A715-43G-R8GA RTX 3050 4GB Ryzen 5 5625U 8GB 512GB 15.6 FHD 144Hz IPS Win 11,Acer,https://xgear.net/wp-content/uploads/2023/01/Acer-Aspire-7-A715-43G-R8GA-1.jpg,"Thiết kế tinh tế, trung tính theo phong cách học tập, văn phòng nhưng ACER ASPIRE 7 A715-43G-R8GA sở hữu cấu hình mạnh với bộ vi xử lý AMD Ryzen và card đồ họa rời NVIDIA GeForce GTX kết hợp cùng hai quạt tản nhiệt đem lại khả năng làm mát tối đa.
– Bộ vi xử lý AMD Ryzen™ 5 5620U.
– Card đồ họa rời NVIDIA GeForce® RTX 3050 4GB.
– Màn hình 15.6″ FHD IPS đẹp mắt với tần số quét 144Hz chuẩn chiến game.
– Công nghệ tản nhiệt hàng đầu phân khúc với 2 quạt tản nhiệt và hệ thống ống đồng cải tiến, cùng phần mềm tối ưu hóa hệ thống Acer Care Center tiện dụng.","17,490,000 ₫",https://xgear.net/san-pham/laptop-gaming-acer-aspire-7-a715-43g-r8ga/
Laptop,Xgear,Laptop Asus VivoBook Pro 15X A1503ZA-L1422W / L1421W Intel Core i5 12500H 8GB 512GB 15.6″ OLED FHD Win11,Asus,https://xgear.net/wp-content/uploads/2023/02/VivoBook-Pro-15X-A1503ZA-L1422W-1.jpg,"Tỏa sáng với cả thế giới cùng Laptop Asus VivoBook Pro 15X A1503ZA-L1422W / L1421W, máy tính xách tay đầy đủ tính năng với màn hình OLED HDR cực sáng với dải màu DCI-P3 đẳng cấp điện ảnh. Laptop Asus VivoBook Pro 15X A1503ZA-L1422W / L1421W cho phép hoàn thành mọi việc dễ dàng, mọi lúc mọi nơi: mọi khía cạnh đều được cải tiến, từ bộ vi xử lý di động Intel® thế hệ 12 mạnh mẽ tới bản lề duỗi thẳng 180°, thiết kế hình học thanh mảnh và màu sắc hiện đại. Bắt đầu ngày mới đầy hứng khởi với Laptop Asus VivoBook Pro 15X A1503ZA-L1422W / L1421W OLED!","17,490,000 ₫",https://xgear.net/san-pham/asus-vivobook-pro-15x-a1503za-l1422w-l1421w/
